hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reserved_room_type,assigned_room_type
City Hotel,0,213,2017,August,35,28,1,3,1,0.0,0,A,A
City Hotel,0,27,2017,June,22,3,2,2,2,0.0,0,A,A
City Hotel,0,1,2016,August,32,4,0,1,1,0.0,0,A,A
Resort Hotel,0,68,2015,August,36,30,2,3,2,1.0,0,A,A
Resort Hotel,0,29,2017,April,15,10,1,0,2,0.0,0,A,A
City Hotel,0,50,2015,December,53,31,0,3,3,0.0,0,A,A
Resort Hotel,0,227,2016,September,37,5,4,10,2,0.0,0,D,D
City Hotel,0,26,2017,March,13,26,2,0,2,0.0,0,A,A
Resort Hotel,0,23,2017,July,28,13,0,3,2,0.0,0,A,A
City Hotel,1,275,2016,October,40,1,2,1,2,0.0,0,A,A
City Hotel,1,4,2016,July,29,16,2,2,1,0.0,0,A,A
City Hotel,1,8,2015,August,34,16,1,0,2,0.0,0,A,A
City Hotel,1,155,2017,August,31,2,2,8,2,0.0,0,A,A
City Hotel,0,44,2017,June,24,11,2,3,2,0.0,0,A,A
City Hotel,0,88,2016,August,34,16,0,4,0,0.0,0,D,K
Resort Hotel,1,42,2016,September,39,23,0,1,2,0.0,0,A,A
City Hotel,1,64,2016,April,18,29,1,2,2,0.0,0,A,B
City Hotel,1,275,2017,August,32,8,0,4,2,0.0,0,A,A
City Hotel,0,122,2017,July,27,8,0,1,3,0.0,0,E,E
City Hotel,0,67,2016,November,45,1,0,4,2,0.0,0,A,A
Resort Hotel,0,2,2017,March,11,16,0,1,1,0.0,0,A,F
City Hotel,0,301,2016,July,31,30,1,1,2,0.0,0,A,A
City Hotel,1,43,2016,January,3,14,0,3,2,2.0,0,B,B
City Hotel,0,9,2017,January,2,14,0,1,2,0.0,1,D,D
City Hotel,0,24,2016,December,50,7,0,4,2,0.0,0,D,E
Resort Hotel,0,160,2016,June,27,26,2,5,2,0.0,0,A,A
Resort Hotel,1,393,2016,October,41,8,2,2,2,0.0,0,A,A
City Hotel,0,166,2016,May,19,3,0,4,2,0.0,0,A,A
Resort Hotel,0,94,2016,October,44,28,2,3,2,0.0,0,A,D
City Hotel,1,56,2017,February,5,1,0,3,2,0.0,0,A,A
City Hotel,1,344,2015,September,39,26,2,1,2,0.0,0,A,A
City Hotel,0,124,2016,October,42,9,2,1,2,0.0,0,A,A
City Hotel,1,88,2017,May,19,8,1,1,1,0.0,0,A,A
City Hotel,0,0,2017,May,19,9,0,1,1,0.0,0,A,G
City Hotel,0,78,2016,April,18,28,2,3,2,0.0,0,A,A
Resort Hotel,0,40,2017,January,3,16,1,2,1,0.0,0,A,A
City Hotel,1,278,2015,July,30,22,0,2,2,0.0,0,A,A
Resort Hotel,1,12,2017,February,7,12,2,5,2,0.0,0,D,D
City Hotel,0,34,2017,July,28,10,1,1,2,1.0,0,A,A
City Hotel,0,276,2016,September,39,22,0,3,2,0.0,0,A,A
City Hotel,0,173,2017,August,33,14,1,2,2,0.0,0,A,A
City Hotel,1,59,2017,March,11,15,0,3,2,0.0,0,A,A
Resort Hotel,0,179,2016,September,40,30,1,2,2,0.0,0,E,E
Resort Hotel,0,8,2015,July,29,12,2,4,2,1.0,0,A,A
City Hotel,1,122,2017,May,20,18,0,3,2,0.0,0,A,A
City Hotel,1,414,2015,December,49,5,2,1,2,0.0,0,A,A
City Hotel,0,99,2016,February,8,19,0,1,1,0.0,0,A,A
City Hotel,0,29,2016,August,32,2,0,1,2,0.0,0,A,A
Resort Hotel,0,15,2017,January,4,26,0,3,2,0.0,0,D,D
Resort Hotel,0,1,2017,January,1,7,0,1,2,2.0,0,G,G
City Hotel,1,198,2016,May,21,20,0,1,2,0.0,0,A,A
City Hotel,1,102,2015,October,42,16,0,2,2,0.0,0,A,A
City Hotel,0,0,2016,February,8,15,1,0,3,0.0,0,D,D
City Hotel,0,18,2016,October,45,30,2,1,2,0.0,0,E,E
City Hotel,1,237,2017,April,16,22,2,2,2,0.0,0,A,A
City Hotel,1,111,2016,October,42,10,1,0,1,0.0,0,A,A
Resort Hotel,0,1,2016,September,37,8,0,3,2,0.0,0,A,A
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,A,A
City Hotel,0,114,2017,May,20,19,1,2,2,0.0,0,E,A
City Hotel,1,60,2016,July,29,14,0,1,1,0.0,0,D,D
City Hotel,0,90,2017,August,32,7,1,0,2,1.0,0,A,A
City Hotel,0,47,2015,October,40,1,1,3,2,0.0,0,A,A
Resort Hotel,0,24,2017,January,1,7,2,5,2,0.0,0,E,E
Resort Hotel,0,5,2015,September,38,16,0,1,2,0.0,0,A,A
City Hotel,0,122,2016,December,50,8,0,3,2,0.0,0,A,A
City Hotel,1,54,2017,January,3,18,0,3,2,0.0,0,A,A
Resort Hotel,0,1,2016,January,5,26,0,0,2,0.0,0,A,D
Resort Hotel,1,333,2017,August,31,5,2,3,2,1.0,0,A,A
City Hotel,0,9,2016,February,7,12,1,2,2,0.0,0,D,D
Resort Hotel,0,91,2017,February,8,25,2,1,2,0.0,0,D,D
City Hotel,0,96,2016,April,15,8,2,2,2,0.0,0,A,A
Resort Hotel,0,33,2015,November,46,12,0,3,1,0.0,0,A,E
Resort Hotel,0,169,2017,July,31,31,1,3,2,0.0,1,D,D
City Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,A,A
Resort Hotel,1,28,2017,August,31,3,0,2,2,0.0,0,A,A
City Hotel,1,103,2016,April,17,19,0,2,1,0.0,0,A,A
City Hotel,0,59,2015,December,53,28,1,2,2,0.0,0,A,A
City Hotel,0,1,2016,September,40,29,0,3,2,0.0,0,A,A
City Hotel,1,46,2016,September,38,11,2,3,2,0.0,0,D,D
City Hotel,0,17,2017,May,22,28,2,0,1,0.0,0,A,A
City Hotel,0,71,2016,August,35,26,2,2,2,0.0,0,A,A
City Hotel,1,237,2016,August,32,5,0,2,0,2.0,0,B,B
City Hotel,1,72,2016,December,53,26,1,3,2,2.0,0,F,F
City Hotel,0,6,2016,October,45,31,1,3,1,0.0,0,A,A
City Hotel,1,0,2016,March,11,8,0,2,1,0.0,0,D,D
Resort Hotel,1,225,2016,August,35,27,2,5,2,0.0,0,A,A
Resort Hotel,0,53,2017,August,31,4,0,1,2,0.0,0,A,C
Resort Hotel,0,47,2015,August,34,22,2,5,2,1.0,0,A,C
City Hotel,1,116,2016,February,10,28,2,1,1,0.0,0,A,B
Resort Hotel,0,214,2016,September,38,17,0,1,2,0.0,0,E,E
City Hotel,0,48,2016,March,14,28,1,0,2,0.0,0,A,A
Resort Hotel,0,8,2016,May,20,10,0,2,2,0.0,0,A,E
City Hotel,0,261,2017,February,8,23,0,3,3,0.0,0,A,D
City Hotel,0,1,2017,June,26,30,0,1,0,0.0,0,E,K
City Hotel,0,48,2016,September,37,6,1,5,2,2.0,0,F,F
City Hotel,0,1,2016,January,3,14,0,2,1,0.0,0,A,A
City Hotel,1,82,2016,July,31,25,1,2,3,0.0,0,D,D
Resort Hotel,0,83,2016,July,30,19,2,8,2,0.0,0,F,F
City Hotel,1,14,2017,July,29,16,1,0,2,0.0,0,A,A
City Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,A,A
City Hotel,0,0,2016,May,19,6,0,2,2,0.0,0,A,D
City Hotel,0,88,2016,April,15,3,2,2,2,2.0,0,F,F
City Hotel,0,0,2016,May,21,17,0,0,1,0.0,0,A,A
City Hotel,0,26,2015,October,43,19,1,2,1,0.0,0,A,B
City Hotel,0,20,2017,May,21,24,0,1,2,0.0,0,A,A
Resort Hotel,0,192,2017,March,9,2,1,3,1,0.0,0,D,F
Resort Hotel,0,72,2016,February,6,6,2,1,2,0.0,0,D,D
City Hotel,1,35,2016,June,26,21,0,1,2,0.0,0,A,A
City Hotel,0,95,2015,December,53,29,0,4,2,0.0,0,D,D
City Hotel,0,0,2017,March,13,29,0,1,1,0.0,0,A,A
Resort Hotel,0,137,2016,April,17,19,0,2,2,0.0,0,A,A
City Hotel,1,125,2017,June,25,18,2,0,2,0.0,0,A,A
City Hotel,1,0,2015,August,32,4,0,1,2,0.0,0,A,A
City Hotel,1,9,2017,March,11,12,2,2,2,0.0,0,D,D
City Hotel,1,162,2017,May,18,6,2,1,1,0.0,0,A,A
City Hotel,0,116,2016,August,33,11,1,3,3,0.0,0,G,G
City Hotel,1,105,2016,April,15,6,0,1,2,0.0,0,A,A
City Hotel,1,281,2016,October,40,1,2,1,2,0.0,0,A,A
Resort Hotel,1,19,2015,November,45,7,0,1,2,1.0,0,A,D
City Hotel,1,130,2016,May,20,12,1,3,2,0.0,0,A,A
City Hotel,0,15,2016,February,7,12,1,2,2,0.0,0,A,A
City Hotel,1,113,2016,February,9,25,0,3,2,0.0,0,A,A
City Hotel,0,157,2016,August,35,21,2,3,2,0.0,0,A,A
Resort Hotel,0,162,2016,March,13,24,0,3,2,0.0,0,A,A
City Hotel,1,25,2016,September,40,26,1,0,2,0.0,0,A,A
City Hotel,0,58,2017,March,11,17,1,2,2,0.0,0,A,D
City Hotel,1,130,2016,May,19,5,0,3,2,0.0,0,A,A
City Hotel,1,67,2017,May,18,6,1,1,2,0.0,0,A,A
City Hotel,1,280,2016,September,39,19,1,2,2,0.0,0,A,A
Resort Hotel,1,87,2015,August,34,17,3,7,2,0.0,0,A,A
City Hotel,1,268,2015,July,29,12,2,1,2,0.0,0,A,A
Resort Hotel,0,10,2017,February,8,25,2,1,2,0.0,0,A,A
Resort Hotel,0,14,2017,August,34,24,2,5,2,0.0,0,D,D
Resort Hotel,0,287,2015,October,42,15,0,3,2,0.0,0,A,E
City Hotel,1,32,2017,January,2,14,0,1,2,2.0,0,F,F
City Hotel,1,186,2017,May,22,30,0,2,2,0.0,0,A,A
Resort Hotel,0,113,2015,July,28,8,2,4,2,0.0,0,E,E
City Hotel,0,14,2016,September,36,1,1,3,2,2.0,0,F,G
City Hotel,0,56,2016,July,30,19,0,2,2,2.0,0,F,F
City Hotel,0,1,2016,March,11,12,0,1,2,0.0,0,A,A
City Hotel,0,147,2017,May,18,5,1,2,2,0.0,0,A,A
City Hotel,0,46,2015,August,34,17,1,1,1,0.0,0,A,A
Resort Hotel,0,276,2017,April,16,22,2,5,2,0.0,0,A,A
City Hotel,1,213,2017,August,33,18,0,2,2,0.0,0,A,A
City Hotel,1,608,2017,March,10,9,0,2,2,0.0,0,A,A
Resort Hotel,0,248,2016,August,33,7,2,0,3,0.0,0,G,G
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,A,A
Resort Hotel,0,2,2016,November,48,26,1,1,1,0.0,0,A,D
Resort Hotel,0,18,2017,January,4,26,0,3,2,0.0,0,A,A
City Hotel,0,81,2016,December,50,4,2,2,2,0.0,0,A,D
City Hotel,0,58,2015,October,44,29,2,3,2,0.0,0,A,A
City Hotel,0,0,2016,November,49,28,1,0,1,0.0,0,A,D
City Hotel,0,63,2016,July,28,4,1,3,2,0.0,0,A,A
Resort Hotel,0,14,2016,March,14,28,1,2,2,1.0,0,A,D
City Hotel,0,86,2017,March,13,30,1,3,2,0.0,0,A,A
City Hotel,0,35,2017,February,7,13,1,2,2,0.0,0,D,D
City Hotel,1,134,2017,June,23,7,0,2,2,0.0,0,A,A
City Hotel,1,268,2015,July,29,12,2,1,2,0.0,0,A,A
Resort Hotel,1,345,2016,August,33,13,2,2,2,0.0,0,A,A
City Hotel,1,133,2016,July,30,23,0,1,3,0.0,0,D,D
City Hotel,0,34,2015,October,42,15,2,3,2,0.0,0,B,B
City Hotel,0,504,2017,August,32,12,2,1,2,0.0,0,A,A
Resort Hotel,0,166,2017,June,26,25,4,10,2,0.0,0,D,D
City Hotel,1,605,2016,October,43,17,1,2,2,0.0,0,A,A
City Hotel,1,262,2016,November,47,14,1,2,1,0.0,0,E,E
Resort Hotel,1,25,2016,November,48,20,2,1,1,0.0,0,A,A
City Hotel,0,56,2015,September,38,17,0,2,2,0.0,0,A,D
City Hotel,0,54,2016,October,43,16,2,2,2,0.0,0,A,A
Resort Hotel,1,174,2017,April,16,19,0,3,2,0.0,0,A,A
Resort Hotel,1,32,2016,April,14,2,4,10,2,0.0,0,E,E
Resort Hotel,0,207,2015,September,39,26,1,1,2,0.0,0,A,A
Resort Hotel,1,309,2017,July,31,30,2,5,2,0.0,0,E,E
Resort Hotel,1,274,2015,October,40,3,2,5,2,0.0,0,A,A
City Hotel,0,212,2016,May,21,20,2,3,1,0.0,0,A,A
City Hotel,0,5,2016,May,21,21,2,1,1,0.0,0,E,E
City Hotel,0,14,2017,February,7,13,1,0,3,0.0,0,A,D
City Hotel,1,307,2017,May,19,11,0,1,2,0.0,0,A,A
Resort Hotel,1,168,2016,September,37,6,0,1,2,0.0,0,D,D
City Hotel,1,162,2017,June,25,19,1,3,2,0.0,0,D,D
City Hotel,0,14,2016,March,14,31,2,3,3,0.0,0,D,D
Resort Hotel,0,1,2016,April,18,29,0,2,2,0.0,0,D,D
Resort Hotel,0,6,2017,April,17,23,2,2,2,0.0,0,E,E
Resort Hotel,0,2,2017,February,6,10,4,10,2,0.0,0,A,I
Resort Hotel,0,17,2015,November,49,30,1,3,1,0.0,0,A,D
City Hotel,0,35,2017,April,16,17,1,1,2,1.0,0,A,A
City Hotel,1,52,2017,April,15,9,2,0,2,0.0,0,A,A
City Hotel,0,70,2016,April,15,6,0,3,2,0.0,0,A,A
City Hotel,0,87,2016,July,29,14,1,3,2,0.0,0,A,A
Resort Hotel,1,125,2017,July,28,15,2,5,2,0.0,0,D,D
City Hotel,0,20,2017,January,4,23,1,3,2,0.0,0,A,A
City Hotel,1,150,2017,June,24,17,2,3,1,0.0,0,A,A
Resort Hotel,0,9,2015,December,50,9,0,1,1,0.0,0,A,D
City Hotel,0,64,2016,April,15,4,1,3,3,0.0,0,D,D
City Hotel,1,351,2015,October,40,3,2,1,2,0.0,0,A,A
Resort Hotel,1,2,2017,January,2,11,0,1,1,0.0,0,A,D
Resort Hotel,1,177,2015,August,33,15,2,5,2,0.0,0,A,A
City Hotel,1,39,2017,June,26,27,0,3,2,0.0,0,A,A
City Hotel,1,129,2017,June,22,2,1,2,2,0.0,0,A,A
City Hotel,1,125,2017,August,32,10,0,3,2,0.0,0,D,D
City Hotel,1,356,2015,October,41,8,0,2,2,0.0,0,A,A
City Hotel,0,31,2016,October,41,3,1,1,2,1.0,0,A,A
City Hotel,1,35,2016,November,49,28,1,1,2,0.0,0,A,A
City Hotel,1,106,2016,July,30,18,2,5,2,0.0,0,D,D
City Hotel,1,32,2017,May,20,19,2,2,2,0.0,0,D,D
City Hotel,1,117,2017,April,14,5,0,4,2,0.0,0,A,A
City Hotel,1,67,2017,February,7,12,2,0,2,0.0,0,A,A
Resort Hotel,0,0,2017,July,28,13,0,1,2,0.0,0,D,F
Resort Hotel,0,185,2015,July,28,6,3,8,2,0.0,0,A,A
Resort Hotel,1,244,2016,September,39,20,2,5,2,0.0,0,A,A
City Hotel,0,183,2016,August,32,3,1,4,2,0.0,0,A,D
Resort Hotel,0,15,2016,May,19,7,2,1,2,0.0,0,A,D
City Hotel,0,55,2017,May,20,16,0,3,2,0.0,0,A,A
City Hotel,1,373,2017,April,14,5,0,3,1,0.0,0,A,A
Resort Hotel,0,78,2015,November,47,21,0,1,2,0.0,0,A,D
City Hotel,1,221,2016,June,24,10,1,2,2,0.0,0,A,A
Resort Hotel,0,42,2016,June,23,4,1,1,2,0.0,0,A,A
City Hotel,0,14,2016,March,13,24,0,3,3,0.0,0,D,D
City Hotel,1,28,2017,June,24,12,1,2,2,0.0,0,A,A
City Hotel,0,143,2016,August,35,25,0,3,2,0.0,0,A,A
City Hotel,0,65,2016,August,35,26,2,2,2,0.0,0,A,A
City Hotel,1,138,2015,August,34,22,2,1,2,0.0,0,A,A
City Hotel,0,0,2016,May,21,17,0,0,1,0.0,0,A,A
Resort Hotel,0,121,2015,July,27,3,2,5,2,0.0,0,A,A
Resort Hotel,0,156,2016,July,31,24,2,5,2,0.0,0,A,A
City Hotel,0,25,2017,February,9,27,1,0,2,0.0,0,A,A
City Hotel,1,178,2017,May,20,19,0,2,2,0.0,0,D,D
City Hotel,0,20,2016,October,43,16,2,0,2,0.0,0,A,A
Resort Hotel,0,3,2016,December,50,5,1,0,1,0.0,0,A,D
City Hotel,0,4,2017,January,1,6,0,1,2,0.0,0,A,A
Resort Hotel,1,181,2016,July,30,17,4,8,2,2.0,0,G,G
City Hotel,0,35,2016,May,21,16,1,0,1,0.0,0,A,A
Resort Hotel,0,262,2015,September,39,21,1,3,2,0.0,0,A,A
Resort Hotel,0,18,2017,May,21,24,0,1,2,0.0,0,A,D
City Hotel,0,76,2016,May,20,8,2,2,2,0.0,0,D,D
City Hotel,1,327,2015,September,37,9,0,2,2,0.0,0,A,A
Resort Hotel,0,1,2016,February,9,24,0,1,1,0.0,0,A,D
Resort Hotel,1,113,2016,January,1,2,0,1,2,0.0,0,A,A
City Hotel,0,423,2017,July,29,22,1,1,1,0.0,0,A,A
City Hotel,1,162,2017,August,33,19,1,1,2,0.0,0,A,A
City Hotel,0,308,2017,August,32,7,1,5,2,0.0,0,A,K
Resort Hotel,1,8,2016,October,44,25,0,1,1,0.0,0,A,A
Resort Hotel,0,292,2015,October,43,21,0,2,2,0.0,0,A,C
City Hotel,0,85,2016,March,14,28,1,2,2,0.0,0,A,A
City Hotel,1,133,2017,July,27,7,0,2,2,0.0,0,A,A
City Hotel,1,45,2017,January,1,4,0,2,1,0.0,0,A,A
City Hotel,0,55,2017,March,10,6,1,0,1,0.0,0,B,B
City Hotel,0,15,2015,November,48,26,0,2,2,0.0,0,D,D
City Hotel,0,7,2017,June,23,6,0,1,2,0.0,0,A,A
Resort Hotel,0,57,2016,October,44,25,4,10,2,0.0,0,D,D
Resort Hotel,0,179,2016,July,28,4,3,7,2,0.0,0,A,A
Resort Hotel,0,241,2016,June,25,18,2,6,2,0.0,0,D,D
City Hotel,1,87,2015,September,39,25,2,3,2,0.0,0,A,A
Resort Hotel,0,70,2016,August,32,4,2,3,2,0.0,0,D,D
City Hotel,0,0,2016,May,19,4,0,1,1,0.0,0,G,G
Resort Hotel,1,40,2017,April,15,13,0,3,2,2.0,0,C,C
Resort Hotel,0,0,2016,March,12,14,1,0,1,0.0,0,A,D
Resort Hotel,1,123,2016,February,9,27,1,1,2,0.0,0,A,A
City Hotel,1,65,2015,September,36,5,1,1,1,0.0,0,A,A
Resort Hotel,0,0,2017,August,34,26,0,1,2,0.0,0,G,G
Resort Hotel,0,59,2016,December,49,2,2,4,2,0.0,0,A,A
Resort Hotel,1,265,2015,September,39,24,1,3,2,0.0,0,A,A
Resort Hotel,0,130,2015,October,42,16,0,2,2,0.0,0,F,E
Resort Hotel,0,1,2016,February,6,5,0,1,2,0.0,0,A,A
City Hotel,1,333,2017,July,31,30,4,5,2,1.0,0,A,A
City Hotel,0,29,2016,May,21,20,0,1,1,0.0,0,A,D
City Hotel,1,97,2017,March,11,14,0,2,2,0.0,0,A,A
Resort Hotel,0,129,2016,March,13,25,2,6,2,0.0,0,A,A
City Hotel,1,29,2017,February,7,13,1,4,2,0.0,0,A,A
City Hotel,1,350,2016,June,25,17,0,2,2,0.0,0,A,A
City Hotel,1,146,2015,December,53,29,0,3,2,0.0,0,A,A
City Hotel,0,8,2016,November,45,5,0,1,2,0.0,0,A,A
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,A,A
City Hotel,1,37,2015,October,43,18,2,2,2,0.0,0,A,A
City Hotel,1,200,2016,September,39,20,1,5,3,0.0,0,A,A
Resort Hotel,0,203,2017,May,21,25,2,3,2,0.0,0,A,A
City Hotel,0,131,2017,May,21,26,0,2,2,0.0,0,A,A
City Hotel,0,180,2017,July,29,18,0,4,2,1.0,0,E,E
Resort Hotel,0,53,2015,July,31,27,1,3,2,0.0,0,E,F
Resort Hotel,0,0,2016,September,37,5,1,0,3,0.0,0,H,H
City Hotel,0,4,2015,August,33,11,0,5,2,0.0,0,A,A
Resort Hotel,0,101,2016,April,18,29,2,6,2,0.0,0,A,A
City Hotel,1,29,2016,March,10,2,0,4,2,0.0,0,A,A
City Hotel,0,198,2015,October,40,3,1,1,2,0.0,0,A,A
Resort Hotel,1,8,2016,May,21,18,0,2,2,0.0,0,A,A
Resort Hotel,0,0,2015,August,34,20,0,0,2,0.0,0,D,A
City Hotel,0,174,2016,September,39,22,0,3,1,0.0,0,A,A
City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,A,A
City Hotel,0,6,2015,September,39,22,0,3,2,0.0,0,A,A
Resort Hotel,1,57,2016,March,13,24,0,3,2,2.0,0,C,C
City Hotel,0,15,2017,May,20,19,1,2,1,0.0,0,D,D
City Hotel,0,54,2016,November,47,16,0,3,2,0.0,0,A,A
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,A,A
City Hotel,0,241,2015,October,43,19,1,2,1,0.0,0,A,A
City Hotel,0,212,2017,June,23,9,0,2,2,0.0,0,A,A
City Hotel,0,53,2016,July,28,3,2,1,2,0.0,0,A,A
Resort Hotel,0,4,2016,September,38,17,0,1,2,0.0,0,E,E
City Hotel,0,0,2016,February,9,24,0,1,2,0.0,0,A,A
City Hotel,1,40,2015,October,43,19,1,2,1,0.0,0,A,A
Resort Hotel,0,68,2015,September,36,2,2,5,3,0.0,0,G,G
Resort Hotel,0,33,2017,June,23,10,0,1,2,0.0,0,A,A
City Hotel,0,100,2016,April,17,17,2,2,2,0.0,0,A,A
Resort Hotel,1,37,2015,October,43,18,2,3,2,0.0,0,D,D
City Hotel,0,6,2017,January,1,3,0,1,1,0.0,0,A,A
City Hotel,1,275,2016,October,41,5,1,4,2,0.0,0,A,A
Resort Hotel,1,46,2017,August,35,27,2,2,1,0.0,0,E,E
City Hotel,0,0,2017,May,19,10,0,1,1,0.0,0,A,G
City Hotel,1,133,2016,November,49,27,2,3,3,0.0,0,D,D
City Hotel,1,114,2017,August,34,20,2,3,2,1.0,0,D,D
City Hotel,0,186,2017,August,33,17,0,3,2,0.0,0,A,A
City Hotel,0,1,2017,January,3,19,0,2,2,0.0,0,A,A
Resort Hotel,1,294,2017,August,34,20,2,1,2,1.0,0,A,A
City Hotel,1,48,2016,April,14,1,2,3,2,0.0,0,D,D
City Hotel,1,104,2017,May,20,15,1,2,1,0.0,0,A,A
Resort Hotel,0,153,2016,May,19,5,0,3,3,0.0,0,A,C
City Hotel,0,96,2016,August,34,14,2,2,2,0.0,0,A,A
Resort Hotel,0,36,2016,April,15,9,2,5,2,0.0,0,A,D
Resort Hotel,0,532,2015,October,40,2,2,7,2,0.0,0,D,D
City Hotel,0,32,2017,January,5,30,1,4,3,0.0,0,E,E
Resort Hotel,1,77,2016,August,35,26,1,2,2,0.0,0,A,A
City Hotel,1,44,2016,February,8,17,0,3,2,0.0,0,A,A
Resort Hotel,0,2,2017,June,25,22,0,1,2,0.0,0,A,A
City Hotel,0,56,2017,March,13,31,0,2,1,0.0,0,A,A
Resort Hotel,0,20,2015,November,45,2,2,5,2,0.0,0,A,D
City Hotel,0,74,2017,July,27,5,0,2,2,0.0,0,A,C
Resort Hotel,1,259,2015,September,38,17,0,3,2,0.0,0,A,A
City Hotel,1,43,2017,July,28,9,2,1,3,0.0,0,D,D
City Hotel,0,1,2017,May,21,24,0,1,2,0.0,0,A,A
City Hotel,1,92,2015,September,40,30,0,1,2,0.0,0,A,A
City Hotel,0,130,2017,June,23,8,0,3,3,0.0,0,D,D
Resort Hotel,0,146,2017,June,23,10,2,3,1,0.0,0,A,A
City Hotel,0,247,2016,June,24,6,1,1,2,0.0,0,A,A
City Hotel,0,156,2016,August,36,28,2,2,2,1.0,0,F,F
City Hotel,1,444,2016,December,49,1,0,3,1,0.0,0,A,A
City Hotel,1,46,2016,February,8,18,0,2,2,0.0,0,A,A
City Hotel,0,0,2015,November,47,21,0,1,1,0.0,0,A,A
City Hotel,1,140,2015,December,53,29,0,5,2,0.0,0,A,A
Resort Hotel,0,25,2015,November,49,30,3,7,2,0.0,0,D,D
Resort Hotel,0,3,2015,November,47,19,1,3,2,0.0,0,A,D
City Hotel,1,31,2017,June,22,1,0,2,2,0.0,0,A,A
City Hotel,0,18,2016,January,3,16,0,1,2,0.0,0,A,A
City Hotel,1,23,2017,March,9,1,0,2,2,0.0,0,A,A
City Hotel,1,286,2015,July,31,30,0,2,2,0.0,0,A,A
Resort Hotel,0,5,2015,November,46,9,1,0,1,0.0,0,A,D
Resort Hotel,0,11,2017,January,4,22,1,0,2,0.0,0,E,E
City Hotel,0,423,2017,June,24,14,0,3,2,0.0,0,A,A
City Hotel,1,63,2016,April,17,21,0,3,2,0.0,0,A,A
Resort Hotel,1,48,2016,November,47,14,3,5,2,0.0,0,E,E
Resort Hotel,1,111,2016,February,7,12,0,2,2,0.0,0,A,A
City Hotel,1,25,2017,April,14,7,1,2,2,0.0,0,A,A
Resort Hotel,0,72,2017,April,15,14,1,2,2,0.0,0,F,F
City Hotel,1,393,2016,March,12,19,2,1,2,0.0,0,A,A
Resort Hotel,0,79,2016,December,53,27,0,3,2,1.0,0,A,A
Resort Hotel,1,139,2016,August,33,7,3,5,2,0.0,0,D,D
